Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Sandra Verine;;Cinema-memoire, miroirs du cinema. la reflexivite dans l'oeuvre de chris marker a travers trois films : la jetee, sans soleil, level 5.;Maxime Scheinfeigel;Scheinfeigel Maxime;69484341;Montpellier 3;26404702;Etudes cinematographiques et audiovisuel;enCours;06-11-2006;;;s63485;non;26-09-2011;22-01-2015
Pierre-David Vignolle;;L'effet attractif du contrat;Denis Mazeaud;Mazeaud Denis;31706460;Paris 2;26403145;Droit prive;enCours;24-11-2010;;;s64211;non;26-09-2011;16-12-2011
Gianni Vinciguerra;;Les traductions provencales des evangiles. etude de la tradition et edition des textes;Gerard Gouiran,Maria Careri;Gouiran Gerard,Careri Maria;29052459;Montpellier 3;26404702;Etudes occitanes;enCours;30-10-2006;;;s63501;non;26-09-2011;05-04-2016
Josiane Vitali;;L'analyse de situations educatives, un outil pour les pratiques de loisirs des arts du cirque en France.;Richard Etienne;Etienne Richard;;Montpellier 3;26404702;Sciences de l'education;enCours;09-11-2006;;;s63541;non;26-09-2011;21-01-2015
Zsotia Voros;;Orientation spatiale dans le reseau hypertextuel;Jean-francois Rouet;Rouet Jean-francois;;Poitiers;26403765;Psychologie;enCours;28-11-2005;;;s63547;non;26-09-2011;22-01-2015
Rodolphe William;;Le besoin de reconnaissance chez les adolescents : consequence du deni de reconnaissance.;Nielle Puig-Verges;Puig-Verges Nielle;29296552;Paris 8;26403552;Psychologie;enCours;03-11-2008;12-12-2012;;s64690;non;26-09-2011;04-04-2016
Ming Wu;;Le cinema interactif comme un voyage de l'esprit;Henri Scepi,Denis Mellier;Scepi Henri,Mellier Denis;,;Poitiers;26403765;Etudes cinematographiques et audiovisuel;enCours;10-10-2008;15-12-2012;;s64712;non;26-09-2011;30-01-2013
Bertin Yimele dassimenou;;Gouvernance environnementale et droit du developpement : perspectives en afrique francophone;Agnes Michelot;Michelot Agnes;60984759;La Rochelle;35375043;Droit public;enCours;25-09-2009;;;s65271;non;26-09-2011;05-04-2016
Ran Yang;;L'impact et les enjeux du tourisme ethnique exemples des villages dans la province du guizhou et du guangxi;Philippe Violier;Violier Philippe;51621770;Angers;26402920;Geographie;enCours;01-10-2009;;;s65312;non;26-09-2011;22-01-2015
Xiaojie Yu;;Essais sur la speculation immobiliere en chine.;Laurent Augier;Augier Laurent;;Poitiers;26403765;Sciences economiques;enCours;22-11-2010;;;s65325;non;26-09-2011;22-01-2015
Sylvestre Yamthieu Wetondie;;Acces aux aliments et droit de la propriete industrielle. Contribution a l'orientation du brevet et du certificat d'obtention vegetale sur les ressources agricoles vers la securite alimentaire dans les pays en developpement.;Jean-Pierre Clavier,Joseph Fometeu;Clavier Jean-Pierre,Fometeu Joseph;35557060;Nantes;26403447;Droit prive;enCours;01-01-2011;03-04-2013;;s65350;non;26-09-2011;05-04-2016
Dominique Courtois;;La cour des monnaies de paris de 1594 a 1705;Jean-Louis Harouel;Harouel Jean-Louis;26915057;Paris 2;26403145;Histoire du droit;enCours;01-07-1983;;;s66370;non;26-09-2011;04-04-2016
Didier Houngbo;;Analyse comparative du contentieux de l'execution des marches de travaux publics et prives;Jean-Bernard Auby;Auby Jean-Bernard;28822188;Paris 2;26403145;Droit public;enCours;01-12-1979;;;s66372;non;26-09-2011;04-05-2015
Nasser ali Mansourian;;L'exercice de la souverainete economique sur les ressources petrolieres iraniennes_etude de droit interne et de droit international;Joe Verhoeven;Verhoeven Joe;33447675;Paris 2;26403145;Droit international;enCours;01-02-1978;;;s66374;non;26-09-2011;04-04-2016
Bertrand Rossi;;Les almanachs astrologiques : leur place dans l'histoire de la presse et des idees en occident;Pierre Albert;Albert Pierre;27980553;Paris 2;26403145;Histoire du droit;enCours;01-01-1979;;;s66377;non;26-09-2011;04-04-2016
Anne marguerite Wagner;;Les variations linguistiques des enfants porteurs de troubles envahissants du developpement (ted) en fonction des pratiques educatives et du contexte (familial ou scolaire);Rene Pry;Pry Rene;59821183;Montpellier 3;26404702;Psychologie;enCours;12-01-2010;;;s64772;non;26-09-2011;04-04-2016
Mouna Zgheib zgheib;;Facteurs de reussite et dechec de limplantation des SIRH et indicateurs de performance : le cas de trois banques libanaises;Martine Brasseur;Brasseur Martine;59738162;Paris 5;26404788;Droit penal et sciences criminelles;enCours;05-11-2008;16-12-2009;;s65806;non;26-09-2011;16-07-2013
Jihui Zhang;;Une peinture chinoise contemporaine;Valerie Arrault;Arrault Valerie;05351064X;Montpellier 3;26404702;Arts plastiques;enCours;22-10-2009;;;s65840;non;26-09-2011;05-04-2016
Basma Mezghanni (Sellami);;Gouvernement d'entreprise,investissement dans les activites de recherche, developpement et performance;Isabelle Martinez,Ridha Shabou;Martinez Isabelle,Shabou Ridha;,;Poitiers;26403765;Sciences de gestion;enCours;06-02-2007;;;s67180;non;26-09-2011;22-01-2015
Emilia Carloni (Surmonte);;"Antigone,""la"" Sphinx d'Henry Bauchau. Les enjeux d'une creation";Philippe Forest,Anna-maria Laserra;Forest Philippe,Laserra Anna-maria;30092760;Nantes;26403447;Litteratures francaise et francophone;enCours;31-01-2008;19-03-2010;;s67183;non;26-09-2011;11-06-2012
Giada Tognazzi;;La voix d'Hymenee. Aspects de la performance nuptiale grecque;Claude Calame,Simone Beta;Calame Claude,Beta Simone;26762587;Paris, EHESS;26374889;Histoire;enCours;07-03-2007;22-05-2009;;s67226;non;26-09-2011;09-03-2012
Virginie Nkameni deuffi (Tchamwock);;Du devoir de collaboration dans les contrats : Essai d'une theorie juridique. Du Code Civil au droit uniforme africain.;Francois Collart Dutilleul,H. d. Modi koko bebey;Collart Dutilleul Francois,Modi koko bebey H. d.;29085306;Nantes;26403447;Droit prive;enCours;01-10-2008;30-01-2015;;s67235;non;26-09-2011;04-04-2016
Yvette Riviere (Ballerat);;Carson mc cullers (1917-1967).;Michel Bandry;Bandry Michel;28731190;Montpellier 3;26404702;Etudes nord-americaines;enCours;01-01-1980;;;s66395;non;26-09-2011;31-05-2013
Henri Madeleine;;La notion de public en espagne entre 1530 et 1620.;Edmond Cros;Cros Edmond;02680607X;Montpellier 3;26404702;Etudes hispaniques;enCours;01-05-1981;;;s66398;non;26-09-2011;31-05-2013
Jean-pierre Donnadieu;;1789 en languedoc : l'esprit public;Genevieve Gavignaud-Fontaine;Gavignaud-Fontaine Genevieve;31581269;Montpellier 3;26404702;Histoire;enCours;01-02-1981;;;s66460;non;26-09-2011;05-04-2016
Catherine Tourrolier;;Autonomie et dependance, contraintes et adhesion au projet : des paradoxes qui traversent et sustentent l'accompagnement socio-educatif des personnes en difficultes.;Jean-Bernard Paturet;Paturet Jean-Bernard;30075017;Montpellier 3;26404702;Sciences de l'education;enCours;13-10-2009;;;s62586;non;26-09-2011;04-04-2016
Jean-marie Triacca;;Les relations de la lorraine ducale avec rome et l'italie dans les domaines : politique et diplomatique, economique et financier, culturel, religieux, et artistique, sous le regne du duc charles iii le grand (1559-1608).;Philippe Martin;Martin Philippe;;Universite de Lorraine;157040569;Histoire moderne et contemporaine;enCours;21-12-2009;;;s62594;non;26-09-2011;28-06-2013
Edouard cocou Tchiakpe;;Les medias et l'environnement depuis 1990 : sensibilisation, information et preconisation. le cas particulier du benin.;Francis Balle;Balle Francis;26702606;Paris 2;26403145;Sciences de l'information et de la communication;enCours;10-02-2010;;;s62619;non;26-09-2011;13-02-2012
Ousmane Tamboura;;Les collectivites locales burkinabees face aux nouveaux defis du management territorial : methodes de gestion et dynamique de developpement local;Yves Jean;Jean Yves;;Poitiers;26403765;Geographie;enCours;08-10-2009;;;s62645;non;26-09-2011;07-02-2012
Katia Van der Meulen;;Analyse des parcours linguistiques des migrants signataires du contrat accueil et integration;Marinette Matthey;Matthey Marinette;34857338;Grenoble;30327202;Sciences du langage;enCours;31-01-2007;05-12-2012;;s63614;non;26-09-2011;04-04-2016
Jean-Dominique Voisin;;La preuve contre soi-meme;Philippe Conte;Conte Philippe;30246016;Paris 2;26403145;Droit prive;enCours;25-10-2007;;;s63664;non;26-09-2011;12-03-2015
Antoine Vacavant;;Geometrie discrete sur grilles irregulieres isothetiques;Laure Tougne,David Coeurjolly;Tougne Laure,Coeurjolly David;69655308,069655;Lyon 2;02640334X;Informatique;enCours;01-09-2008;04-12-2008;;s63826;non;26-09-2011;30-03-2016
Didier Vidal;;Le pouvoir de soigner et les mecanismes de la guerison : representation du puvoir et pouvoir de la representation. La relation du soin de l'ethnopsychiatrie a l'ethnopscinema;Jeanlouis Olive;Olive Jeanlouis;;Perpignan;26403692;Ethnologie et Anthropologie;enCours;27-01-2009;28-11-2011;;s63884;non;26-09-2011;02-12-2011
Rita Vallot (Peix);;Bi/pluralisme avec le catalan a l'ecole de la Catalogne du Nord;Joan Peytavi Deixona,Luci Nussbaum;Peytavi Deixona Joan,Nussbaum Luci;,;Perpignan;26403692;Etudes catalanes et transfrontalieres;enCours;28-01-2009;12-12-2011;;s63885;non;26-09-2011;12-12-2011
Diane carlyne Tongoue (Wagoue tchokotcheu);;L'oralite en procedure civile.;Philippe Briand,Joseph Fometeu;Briand Philippe,Fometeu Joseph;,;Nantes;26403447;Droit prive;enCours;01-01-2011;;;s64905;non;26-09-2011;04-04-2016
Jimmy Vilalta;;Elements de reflexion autour du devenir des monuments religieux depuis la loi de separation de l eglise et de l etat en 1905 jusqu a nos jours .;Christian Amalvi;Amalvi Christian;26683873;Montpellier 3;26404702;Histoire moderne et contemporaine;enCours;12-10-2010;;;s64325;non;26-09-2011;22-01-2015
Santiago Venturini;;La traduction de poesie francaise dans des revues argentines (1997-2007);Jean Lecointe;Lecointe Jean;;Poitiers;26403765;Litteratures et civilisations comparees;enCours;07-01-2011;;;s64342;non;26-09-2011;22-01-2015
Fangfang Xiong;;La societe rurale et l'impot dans l'ouest de la france a l'epoque moderne. comparaison avec les campagnes chinoises contemporaines;Annie Antoine,Rong Xiang;Antoine Annie,Xiang Rong;34509186;Rennes 2;54447658;Histoire;enCours;01-10-2005;;;s64951;non;26-09-2011;22-01-2015
Dongchun Papineschi (Xia);;Lettres et examens mandarinaux en chine-recherches sur la societe chinoise et les lettres a la fin du xixeme et au debut du xxeme siecles, a partir des journaux de liu dapeng et zhu zhisan;Patrick Doan;Doan Patrick;55384404;Montpellier 3;26404702;Etudes chinoises;enCours;14-10-2008;;;s64968;non;26-09-2011;21-01-2015
Zairong Xiang;;Contested Gendering : decolonial Readings of Snakewoman Deities and their Reception;Ingrid Hotz-Davies,Ingrid Hotz-Davies;Hotz-Davies Ingrid,Hotz-Davies Ingrid;138760195,13876;Perpignan;26403692;Litterature generale et comparee;enCours;28-10-2010;27-09-2013;;s64986;non;26-09-2011;12-04-2016
Jianyu Yu;;Effet de politique commerciale sur les marches internationaux en concurrence imparfaite.;Vincent Requillart;Requillart Vincent;35826886;Toulouse 1;26404354;Sciences economiques;enCours;01-11-2004;;;s64999;non;26-09-2011;22-01-2015
Thi dan tan Pham;;L'audit interne dans les etablissements de l'espace europeen d'enseignement superieur.;Alain Antoine;Antoine Alain;;Universite de Lorraine;157040569;Sciences de gestion;enCours;01-12-2005;;;s66034;non;26-09-2011;28-06-2013
Michelle Makaia (Zenon);; Pour une contribution a des conditions de reussite dune action collective organisee. Le cas de Noel kakado en Guadeloupe .;Pierre Teisserenc;Teisserenc Pierre;;Paris 13;02640463X;Sociologie;enCours;01-11-2003;24-04-2012;;s65420;non;26-09-2011;10-09-2012
Agata Zarzycka;;World of darkness. les jeux de role americains comme espace multi-dimensionnel d'interaction entre theorie et pratique litteraires.;Laurent Lepaludier;Lepaludier Laurent;69641455;Angers;26402920;Etudes nord-americaines;enCours;01-02-2005;;;s65461;non;26-09-2011;22-01-2015
Boubacar Traore;;Recherche et application d'une methodologie de partage d'information pour l'innovation.;Nicolas Moinet;Moinet Nicolas;;Poitiers;26403765;Sciences de gestion;enCours;01-09-2009;;;s62743;non;26-09-2011;22-01-2015
Adolfo fernando Vera penaloza;;L'image politique : art et disparition politique en Amerique Latine.;Jean-Louis Deotte;Deotte Jean-Louis;29288800;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;06-11-2007;31-05-2012;;s63908;non;26-09-2011;04-04-2016
Sylvie Vincent;;La representation spatiale et temporelle comme enjeu d'une quete identitaire chez karen blixen et ngugi wa thiongo;Claire Omhovere;Omhovere Claire;113819137;Montpellier 3;26404702;Etudes anglophones;enCours;14-10-2008;;;s63919;non;26-09-2011;05-04-2016
Julien Urruty;;Les effets sectoriels des distorsions de changes : le cas des pays du sud et de l'est de la mediterrannee;Serge Rey;Rey Serge;;Pau;26403668;Sciences economiques;enCours;13-11-2008;;;s63164;non;26-09-2011;22-01-2015
Stefano Vicari;;Les representations de la langue francaise. Attitudes, prediscours, questions de confiance;Marie-Anne Paveau;Paveau Marie-Anne;34505024;Paris 13;02640463X;Sciences du langage;enCours;14-04-2010;07-07-2011;;s64376;non;26-09-2011;04-04-2016
Marie clemence Vellas;;Immobilier de loisirs et droit du tourisme;Matthieu Poumarede;Poumarede Matthieu;76624226;Toulouse 1;26404354;Droit prive;enCours;01-11-2009;;;s64006;non;26-09-2011;05-04-2016
Rie Yoshimura;;Le clown et la musique des avant-gardes francaises, italiennes, allemandes et sovietique.;Herve Lacombe;Lacombe Herve;;Rennes 2;54447658;Musique et musicologie;enCours;01-11-2004;;;s65033;non;26-09-2011;22-01-2015
Arnaud Ybert;;Evolution technique et stylistique de la voute d'ogives en Picardie de 1140 a 1300.;Philippe Racinet;Racinet Philippe;27087417;Amiens;26403714;Histoire de l'art;enCours;01-09-2005;05-06-2013;;s65041;non;26-09-2011;20-06-2013
Alexander klaus Wagner;;L'interaction strategique en environnement risque;Nicolas Treich;Treich Nicolas;;Toulouse 1;26404354;Sciences economiques;enCours;01-11-2004;;;s64403;non;26-09-2011;22-01-2015
Vera Waksman;;Jean Jacques Rousseau : le legislateur, le philosophe et les conditions de la liberte.;Patrice Vermeren;Vermeren Patrice;28251873;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-05-2003;20-11-2012;;s64411;non;26-09-2011;04-04-2016
Emilie Walezak;;Histoire et fiction dans les romans de peter ackroyd, antonia susan byatt et jeanette winterson.;Josiane Paccaud-Huguet;Paccaud-Huguet Josiane;30767369;Lyon 2;02640334X;Etudes anglophones;enCours;01-01-2005;10-10-2008;;s64416;non;26-09-2011;30-03-2016
Patrick Wagnon;;La profusion du developpement personnel et des neo-therapies alternatives. de l'attraction sociale et alchimie therapeutique, dans la transformation du soi. a la tentation communautaire et ses signes cindynogenes, dans la recherche d'une nouvelle socialite collective. vers une complexite de processus et methodes dans la recherche ideale de nouveaux paradigmes ou d'un reenchantement du monde ?;Patrick Tacussel;Tacussel Patrick;28291433;Montpellier 3;26404702;Sociologie;enCours;01-03-2005;;;s64426;non;26-09-2011;22-01-2015
Xian Zhang;;La gestion des reserves de change en asie;Christian Aubin;Aubin Christian;50060627;Poitiers;26403765;Sciences economiques;enCours;29-09-2006;;;s65517;non;26-09-2011;22-01-2015
Parissa Yadegari;;L'etude des comportements verbaux et non-verbaux des sujets apprenants iraniens dans leurs strategies d'apprentissage du fle.;Laurent Masegeta Kashema Bin Muzigwa;Kashema Bin Muzigwa Laurent Masegeta;60710500;Strasbourg;131056549;Sciences du langage;enCours;01-10-2005;09-12-2011;;s65051;non;26-09-2011;04-04-2016
Chunhong Yang;;Les attentes des touristes chinois en france.;Jacques Orsoni;Orsoni Jacques;27053741;Corte;29473284;Sciences de gestion;enCours;01-10-2005;;;s65063;non;26-09-2011;22-01-2015
Serge nicolas Yazigi;;Regeneration urbaine et historique contemporaine en mediterranee orientale : une approche comparative.;Philippe Chassaigne;Chassaigne Philippe;34681868;Tours;26404478;Histoire;enCours;01-10-2005;;;s65077;non;26-09-2011;22-01-2015
Fei Yan;;Les meilleures strategies pour reussir les operations de fusion-acquisition;Pierre Le Masne;Le Masne Pierre;33949514;Poitiers;26403765;Sciences economiques;enCours;14-12-2006;;;s65080;non;26-09-2011;05-04-2016
Stephanie Young;;Ruptures et continuite dans la litterature neo-hellenique inspiree par 1922;Marie-Paule Masson-Vincourt;Masson-Vincourt Marie-Paule;32942060;Montpellier 3;26404702;Etudes grecques et neo-helleniques;enCours;20-10-2006;;;s65082;non;26-09-2011;04-04-2016
Nadege Mercadier (Yonan Flan);;Essai sur l'intuitus persona en droit fiscal;Emmanuel Kornprobst;Kornprobst Emmanuel;59255978;Rouen;26403919;Droit prive;enCours;17-01-2007;07-12-2012;;s65087;non;26-09-2011;26-11-2015
Mengchao Yang;;La reception par les femmes chinoises des nouveaux stereotypes de la beaute feminine vehicules par les medias.;Alain Calmes;Calmes Alain;28312864;Rennes 2;54447658;Sciences de l'information et de la communication;enCours;10-11-2006;;;s65098;non;26-09-2011;22-01-2015
Chunhong Yang;;Les attentes des touristes chinois en corse.;Jacques Orsoni,Jean-Marie Peretti;Orsoni Jacques,Peretti Jean-Marie;27053741,0270649;Corte;29473284;Sciences de gestion;enCours;18-10-2005;;;s65122;non;26-09-2011;04-04-2016
Marguerite Zind;;Influence de l'alimentation du statut ponderal et de l'entrainement en endurance sur les reponses du systeme antioxydant a l'exercice maximal chez les adolescents libanais.;Arlette Delamarche;Delamarche Arlette;35711949;Rennes 2;54447658;Sciences du sport (staps);enCours;10-11-2006;;;s65557;non;26-09-2011;05-04-2016
Fengxia Zhang;;Etude du comportement des touristes chinois en chine;Philippe Violier;Violier Philippe;51621770;Angers;26402920;Geographie;enCours;01-12-2006;;;s65567;non;26-09-2011;22-01-2015
